"","GRID_ID","EFH_2010","EFH_2011","EFH_2012","EFH_2013","EFH_2014","STW_2010","STW_2011","STW_2012","STW_2013","STW_2014"
"1675","W-42",27,26,27,25,25,32,32,37,41,41
"1676","W-43",341,344,339,342,341,714,716,717,724,726
"1677","W-44",194,192,195,197,198,1034,1029,1109,1115,1133
"1678","W-46",12,11,11,11,11,20,22,22,22,22
"1679","W-47",85,85,85,86,86,190,190,190,189,193
"1680","W-48",49,49,49,49,48,89,89,89,98,99
"1681","W-49",7,7,7,7,7,39,39,39,39,39
"1682","W-5",6,5,6,6,6,5,5,6,6,6
"1683","W-50",0,0,0,0,0,15,15,15,15,15
"1684","W-51",75,75,74,75,75,114,114,115,117,117
"1685","W-52",8,8,8,8,8,11,11,10,10,10
"1686","W-53",0,0,0,0,0,20,20,20,20,20
"1687","W-54",0,0,0,0,0,0,0,0,0,0
"1688","W-55",0,0,0,0,0,0,0,0,0,0
"1689","W-6",0,0,0,0,0,0,0,0,0,0
"1690","W-7",0,0,0,0,0,6,6,6,6,6
"1691","W-8",0,0,0,0,0,0,0,0,0,0
"1692","W-9",0,0,0,0,0,0,0,0,0,0
"1693","X-1",37,37,37,39,38,299,300,296,295,309
"1694","X-10",0,0,0,0,0,0,0,0,0,0
"1695","X-11",63,64,65,66,70,58,57,56,56,56
"1696","X-12",0,0,0,0,0,0,0,0,0,0
"1697","X-13",0,0,0,0,0,0,0,0,0,0
"1698","X-14",103,103,103,103,106,107,107,109,110,112
"1699","X-15",0,0,0,0,0,0,0,0,0,0
"1700","X-16",7,7,7,7,7,8,8,8,9,9
"1701","X-17",0,0,0,0,0,6,6,6,6,6
"1702","X-18",6,6,6,7,7,14,14,14,13,15
"1703","X-19",110,109,113,138,138,247,256,308,308,336
"1704","X-2",239,239,239,243,244,384,385,386,384,384
"1705","X-20",328,330,334,335,336,574,600,633,644,657
"1706","X-21",0,0,0,5,4,4,4,4,4,4
"1707","X-22",0,0,0,0,0,24,24,24,24,24
"1708","X-23",0,0,0,0,0,17,17,17,17,17
"1709","X-24",0,0,0,0,0,0,0,0,0,0
"1710","X-25",156,156,157,156,156,180,178,181,183,183
"1711","X-26",162,161,162,162,163,81,81,90,90,94
"1712","X-27",157,162,141,142,141,539,542,556,554,555
"1713","X-28",226,221,225,225,226,298,294,306,306,309
"1714","X-29",202,202,211,211,217,346,347,348,348,349
"1715","X-3",0,0,0,0,0,0,0,0,0,0
"1716","X-30",210,209,211,212,211,147,147,145,145,145
"1717","X-31",39,40,39,39,38,308,308,316,322,322
"1718","X-32",98,98,98,101,101,99,99,99,100,100
"1719","X-33",32,32,32,32,32,30,24,30,30,31
"1720","X-34",29,29,29,29,29,654,654,673,681,681
"1721","X-35",187,186,186,189,193,1052,1052,1051,1058,1058
"1722","X-36",291,291,290,292,290,756,757,764,757,801
"1723","X-37",324,320,300,300,300,557,567,600,607,608
"1724","X-38",0,0,0,0,0,0,0,0,0,0
"1725","X-39",145,146,152,153,153,184,190,193,190,195
"1726","X-4",63,63,63,63,64,61,73,61,61,61
"1727","X-40",14,14,14,14,14,30,30,30,30,30
"1728","X-41",0,0,0,0,0,11,11,11,11,12
"1729","X-42",8,8,8,8,7,18,18,16,18,18
"1730","X-43",4,4,4,4,4,11,11,7,7,7
"1731","X-44",7,7,7,7,10,22,22,20,17,17
"1732","X-45",116,114,113,113,111,565,608,622,640,627
"1733","X-47",53,53,53,52,52,500,501,516,527,529
"1734","X-48",16,16,15,15,16,201,201,202,202,204
"1735","X-49",0,0,0,0,0,27,27,27,27,27
"1736","X-5",28,30,28,28,29,17,17,17,19,19
"1737","X-50",5,5,5,5,5,27,27,27,27,27
"1738","X-51",8,8,8,8,8,29,29,29,28,28
"1739","X-52",11,12,12,12,12,19,18,18,18,18
"1740","X-53",56,56,56,56,56,47,41,46,46,46
"1741","X-54",9,8,8,8,8,9,10,10,10,10
"1742","X-55",4,4,4,4,4,17,17,17,17,17
"1743","X-6",0,0,0,0,0,0,0,4,4,4
"1744","X-7",0,0,0,0,0,8,8,8,7,7
"1745","X-8",92,93,92,94,95,175,175,177,180,177
"1746","X-9",19,18,19,17,19,7,7,7,11,9
"1747","Y-1",4,4,4,4,4,30,30,30,30,30
"1748","Y-10",0,0,0,0,0,4,4,4,4,4
"1749","Y-11",0,0,0,0,0,4,4,4,4,4
"1750","Y-12",0,0,0,0,0,0,0,0,0,0
"1751","Y-13",26,26,28,28,28,12,12,12,12,12
"1752","Y-14",0,0,0,0,0,0,0,0,0,0
"1753","Y-15",0,0,0,0,0,0,0,0,0,0
"1754","Y-16",0,0,0,0,0,0,0,0,0,0
"1755","Y-17",0,0,0,0,0,12,12,12,12,12
"1756","Y-18",80,79,80,80,80,176,180,176,172,178
"1757","Y-19",97,95,94,96,96,157,159,161,159,159
"1758","Y-2",89,89,88,88,89,262,262,262,263,264
"1759","Y-20",0,0,0,0,0,6,6,7,7,7
"1760","Y-21",0,0,0,0,0,5,5,5,5,5
"1761","Y-22",0,0,0,0,0,9,9,9,9,9
"1762","Y-23",0,0,0,0,0,10,10,10,10,10
"1763","Y-24",0,0,0,0,0,4,4,4,4,4
"1764","Y-25",9,9,9,9,9,11,17,11,20,20
"1765","Y-26",228,228,228,226,226,568,604,606,610,616
"1766","Y-27",12,12,12,12,12,185,185,187,187,187
"1767","Y-28",21,21,21,21,21,27,31,27,27,27
"1768","Y-29",0,0,0,0,0,0,0,0,0,0
"1769","Y-3",0,0,0,0,0,0,0,0,0,0
"1770","Y-30",232,232,233,233,233,213,213,215,215,217
"1771","Y-31",15,15,15,15,15,29,29,29,29,29
"1772","Y-32",109,110,109,109,108,258,257,257,343,333
"1773","Y-33",160,166,166,166,166,1114,1110,1121,1283,1283
"1774","Y-34",23,22,23,25,25,16,16,16,16,14
"1775","Y-35",8,8,8,6,5,6,6,6,8,12
"1776","Y-36",88,86,83,83,83,58,60,64,65,65
"1777","Y-37",4,4,4,4,4,19,18,16,15,15
"1778","Y-38",174,175,176,176,176,192,198,193,194,227
"1779","Y-39",224,223,223,225,226,221,230,219,218,218
"1780","Y-4",10,10,9,9,9,0,0,0,4,4
"1781","Y-40",0,0,0,0,0,0,0,0,0,0
"1782","Y-41",0,0,0,0,0,0,0,0,0,0
"1783","Y-42",4,4,4,4,0,6,6,0,6,6
"1784","Y-43",10,10,10,10,11,7,7,7,7,6
"1785","Y-44",162,163,162,163,161,676,706,670,685,690
"1786","Y-45",163,163,163,163,161,986,958,992,986,999
"1787","Y-46",0,0,0,0,0,0,0,0,0,0
"1788","Y-47",78,82,86,87,89,489,625,615,614,652
"1789","Y-48",221,221,220,220,220,609,609,610,614,613
"1790","Y-49",6,6,6,7,8,11,11,11,10,9
"1791","Y-5",115,115,119,118,121,174,175,179,183,193
"1792","Y-50",8,8,7,7,7,23,23,25,25,25
"1793","Y-51",8,8,8,8,8,37,37,37,37,37
"1794","Y-52",154,155,155,155,155,161,167,163,163,164
"1795","Y-53",33,33,34,34,34,125,122,119,120,120
"1796","Y-54",4,4,4,4,4,18,18,18,18,18
"1797","Y-55",0,0,0,0,0,6,6,6,6,6
"1798","Y-6",0,0,0,0,0,0,0,0,0,0
"1799","Y-7",74,78,85,88,88,239,239,241,244,245
"1800","Y-8",116,118,116,117,118,75,75,75,74,74
"1801","Y-9",0,0,0,0,0,0,0,0,0,0
"1802","Z-10",0,0,0,0,0,0,0,0,0,0
"1803","Z-11",20,20,26,26,36,28,36,50,50,50
"1804","Z-12",106,119,119,119,119,69,93,91,93,93
"1805","Z-13",96,99,101,101,104,65,65,71,71,71
"1806","Z-14",8,8,8,8,8,4,4,4,4,4
"1807","Z-15",0,0,0,0,0,0,0,0,4,4
"1808","Z-16",33,33,33,31,29,48,48,48,48,58
"1809","Z-17",0,0,0,0,0,6,6,6,6,6
"1810","Z-18",310,307,323,328,331,466,470,478,477,471
"1811","Z-19",282,297,295,295,291,275,271,286,298,298
"1812","Z-2",38,38,39,39,39,34,34,35,35,36
"1813","Z-20",0,0,0,0,0,0,0,0,0,0
"1814","Z-21",10,11,11,11,11,22,21,21,21,21
"1815","Z-22",0,0,0,0,0,4,4,4,4,4
"1816","Z-23",4,4,4,4,4,17,17,17,17,17
"1817","Z-24",67,67,67,63,62,99,99,99,103,106
"1818","Z-25",70,71,71,71,71,263,255,261,261,261
"1819","Z-26",9,9,9,9,9,5,6,6,8,8
"1820","Z-27",23,23,23,23,23,42,42,48,48,54
"1821","Z-28",49,50,50,50,50,161,199,256,287,287
"1822","Z-29",0,0,0,0,0,0,0,0,0,0
"1823","Z-3",0,0,0,0,0,0,0,0,0,0
"1824","Z-30",0,0,0,0,0,0,0,0,0,0
"1825","Z-31",0,0,0,0,0,0,0,0,0,0
"1826","Z-32",6,6,6,6,6,55,62,55,55,55
"1827","Z-33",190,192,190,189,193,2409,2405,2445,2462,2463
"1828","Z-34",159,157,159,159,159,68,68,68,68,68
"1829","Z-35",0,0,0,0,0,0,0,0,0,0
"1830","Z-36",6,6,6,6,6,6,6,7,7,5
"1831","Z-37",19,19,19,19,19,9,8,10,10,10
"1832","Z-38",141,142,144,142,140,225,228,239,240,242
"1833","Z-39",74,76,67,66,66,324,326,334,332,335
"1834","Z-4",0,0,0,0,0,0,0,0,0,0
"1835","Z-40",70,72,69,71,71,246,247,266,266,276
"1836","Z-41",0,0,0,0,0,5,7,7,5,5
"1837","Z-42",0,0,0,0,0,0,0,0,0,0
"1838","Z-43",8,8,8,8,8,7,7,7,7,7
"1839","Z-44",4,4,4,4,4,20,20,20,20,20
"1840","Z-45",216,218,215,215,206,705,703,715,727,750
"1841","Z-46",30,29,30,30,30,302,304,304,304,326
"1842","Z-48",85,85,85,86,86,470,470,470,470,499
"1843","Z-49",213,215,214,213,211,2216,2219,2228,2251,2254
"1844","Z-5",0,0,0,0,0,0,0,0,0,0
"1845","Z-50",46,46,46,46,49,261,277,277,277,275
"1846","Z-51",12,12,11,11,11,38,38,42,42,42
"1847","Z-52",17,17,17,17,16,63,62,64,61,62
"1848","Z-53",10,10,11,11,11,19,21,21,21,21
"1849","Z-54",13,13,12,12,12,34,34,35,35,35
"1850","Z-55",69,70,71,71,72,80,81,81,81,81
"1851","Z-56",0,0,0,0,0,0,0,0,0,0
"1852","Z-6",0,0,0,0,0,4,4,0,0,0
"1853","Z-7",40,40,40,40,40,57,57,57,57,58
"1854","Z-8",47,50,47,47,47,32,32,32,35,35
"1855","Z-9",0,0,0,0,0,0,0,0,0,0
