"","GRID_ID","EFH_2010","EFH_2011","EFH_2012","EFH_2013","EFH_2014","STW_2010","STW_2011","STW_2012","STW_2013","STW_2014"
"1330","O-7",0,0,0,0,0,0,0,0,0,0
"1331","O-8",6,6,6,6,6,0,0,0,0,0
"1332","O-9",267,272,276,279,281,360,357,362,359,357
"1333","P-10",231,231,231,232,244,612,644,618,639,666
"1334","P-11",0,0,0,0,0,12,12,14,14,15
"1335","P-12",0,0,0,0,0,4,4,0,0,0
"1336","P-13",0,0,0,0,0,0,0,0,0,0
"1337","P-14",0,0,0,0,0,10,10,7,7,7
"1338","P-15",45,44,46,46,46,59,59,60,60,60
"1339","P-16",6,6,6,7,7,17,17,16,16,16
"1340","P-17",0,0,0,0,0,7,7,7,7,6
"1341","P-18",49,49,49,49,49,414,425,439,467,467
"1342","P-19",318,322,316,301,302,2405,2423,2466,2635,2659
"1343","P-20",140,140,139,136,134,2437,2440,2510,2598,2748
"1344","P-21",212,211,212,213,212,1333,1347,1344,1342,1330
"1345","P-22",33,33,33,33,33,271,265,271,260,241
"1346","P-23",0,0,0,0,0,5,5,5,4,4
"1347","P-24",0,0,0,0,0,0,0,0,0,0
"1348","P-25",0,0,0,0,0,0,0,0,0,0
"1349","P-26",0,0,0,0,0,0,0,0,0,0
"1350","P-27",38,38,38,38,38,193,165,193,193,193
"1351","P-28",0,0,0,0,0,18,18,18,23,23
"1352","P-29",264,246,247,248,248,4437,4405,4412,4437,4575
"1353","P-30",137,119,119,120,120,4221,4343,4351,4425,4497
"1354","P-31",133,129,127,127,127,3818,3960,4003,4002,3983
"1355","P-32",182,184,183,184,181,4750,4766,4759,4830,4838
"1356","P-33",176,174,173,172,172,6283,6352,6416,6454,6448
"1357","P-34",0,0,4,4,4,2460,2446,2510,2520,2542
"1358","P-35",18,18,19,19,18,2395,2417,2473,2491,2545
"1359","P-36",0,0,0,0,0,264,280,256,256,285
"1360","P-37",0,0,0,0,0,203,204,210,211,212
"1361","P-38",91,89,88,88,91,633,636,647,646,649
